2020/11/04 08:00:33 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.22.0.3:3000/", host: "localhost"
2020/11/04 08:00:34 [error] 7#7: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.22.0.3:3000/favicon.ico", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:02:03 [error] 7#7: *11 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://172.22.0.3:3000/", host: "localhost"
2020/11/04 08:02:03 [error] 7#7: *11 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.22.0.3:3000/favicon.ico", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:03:54 [error] 7#7: *20 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:04:57 [error] 7#7: *28 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:06:00 [error] 7#7: *30 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:06:29 [error] 7#7: *38 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:07:43 [error] 7#7: *69 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:08:46 [error] 7#7: *77 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:10:00 [error] 7#7: *79 upstream timed out (110: Operation timed out) while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:10:56 [error] 7#7: *84 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /_loading/sse HTTP/1.1", upstream: "http://172.22.0.3:3000/_loading/sse", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:11:23 [error] 7#7: *87 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
2020/11/04 08:11:54 [error] 7#7: *89 connect() failed (111: Connection refused) while connecting to upstream, client: 172.22.0.1, server: localhost, request: "GET /__webpack_hmr/client HTTP/1.1", upstream: "http://172.22.0.3:3000/__webpack_hmr/client", host: "localhost", referrer: "http://localhost/"
